week,region,bing_spend,google_non_brand_spend,google-search-brand_spend,fb-ig_spend,twitter_spend,youtube_spend,tiktok_spend,amg_spend,SB_spend,SD_spend,SPA_spend,SPA_brand_spend,SB_brand_spend,SD_brand_spend,bing_impression,google_non_brand_impression,google-search-brand_impression,fb-ig_impression,twitter_impression,youtube_impression,tiktok_impression,amg_impression,SB_impression,SD_impression,SPA_impression,SPA_brand_impression,SB_brand_impression,SD_brand_impression,total_rev,dtc_rev,amz_rev
2023/1/15,Spark,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,3225,0,0,0,0,625349.92,4981.38,620368.54
2023/1/15,GLOBAL_PPS-EU,409,6975,2721,4167,0,7027,0,6670,0,1130,0,0,0,127,60211,761896,40923,1226729,0,653729,0,4958147,0,170799,0,0,0,20411,262663.18,102302.07,160361.11
2023/1/15,MEA,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,100477,0,0,0,0,220830.06,0,0
2023/1/22,US_Soundcore,0,2731,4188,36512,0,0,0,31096,431,6641,0,0,0,269,0,567068,31058,1769075,0,0,0,2657013,49424,1522455,0,0,0,49085,2526267.47,36216.28,2490051.19
2023/1/22,GLOBAL_PPS-Other,0,0,0,0,0,0,0,0,0,3247,0,0,0,0,0,0,0,0,0,0,0,0,0,633421,0,0,0,0,0,0,0
2023/1/22,GLOBAL_PPS-EU,396,7488,2306,4284,0,7009,0,6229,0,1235,0,0,0,140,60679,756907,39867,1170015,0,634658,0,4113800,0,163723,0,0,0,13809,243170.89,76476.11,166694.78
2023/1/22,US_Anker,1065,6438,7787,16743,0,0,0,59796,702,3412,0,0,0,0,98297,1289895,77538,1542322,0,0,0,9514523,92483,705302,0,0,0,0,6859739.86,236000.83,6623739.03
2023/1/22,CA,0,0,2024,0,0,0,0,403,59,413,0,0,0,0,0,0,25233,0,0,0,0,61148,15029,201865,0,0,0,0,903516.23,34383.2,869133.03
2023/1/22,US_Eufy,184,494,36154,34792,0,7847,0,75977,2769,3024,0,0,0,0,23895,18427,1315065,4343658,0,1997731,0,11214126,267912,409580,0,0,0,0,4105856.85,507369.05,3598487.8
2023/1/22,UK_IE,1139,5287,10449,6955,0,0,0,12714,0,472,0,0,0,0,78481,966594,102998,1142846,0,0,0,3476204,0,84442,0,0,0,0,2358699.54,238609.32,2120090.22
2023/1/22,Other,0,3590,1403,4750,0,0,54,1778,105,4680,0,0,0,0,0,2106800,11480,1194053,0,0,17621,605870,6422,2507672,0,0,0,0,317090.96,34281.64,282809.32
2023/1/22,DBNX,831,5800,18356,13521,0,0,0,9997,0,2333,0,0,0,787,73418,857204,210847,2654028,0,0,0,3497932,0,858124,0,0,0,136051,3500732.33,373043.12,3127689.21
2023/1/22,Spark,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2768,0,0,0,0,684665.41,2480.36,682185.05
2023/1/22,GLOBAL_PPS-US,1,13527,5272,25255,0,17473,0,6597,0,298,0,0,0,0,434,1206225,90418,4768349,0,1984587,0,941162,0,9792,0,0,0,0,409473.57,116637.5,292836.07
2023/1/22,MEA,0,0,0,0,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,125077,0,0,0,0,247403.98,0,0
2023/1/22,ANZ,0,0,107,0,0,0,0,0,0,0,0,0,0,0,0,0,574,0,0,0,0,0,0,0,0,0,0,0,109769.83,7793.73,101976.1
2023/1/29,GLOBAL_PPS-EU,28,6989,2491,6898,0,7876,0,3897,0,260,0,0,0,111,5149,688930,56350,1483362,0,1021389,0,2609410,0,44861,0,0,0,24399,246563.25,90261.08,156302.17
2023/1/29,GLOBAL_PPS-Other,0,0,0,1280,0,0,0,3682,0,6126,0,0,0,0,0,0,0,213475,0,0,0,1695251,0,1074419,0,0,0,0,0,0,0
2023/1/29,Other,0,3352,745,3224,0,0,0,3894,264,3731,0,0,0,0,0,1992321,8676,946300,0,0,0,1431652,28798,1856496,0,0,0,0,153342.33,41430.52,111911.81
2023/1/29,Spark,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3719,0,0,0,0,658335.56,3324.01,655011.55
2023/1/29,US_Anker,1272,39730,12322,48001,10111,0,0,72303,504,2230,0,0,0,0,76726,10393891,111387,9253224,5242520,0,0,10250928,51693,449845,0,0,0,0,7478451.44,346544.15,7131907.29
2023/1/29,MEA,0,0,0,0,0,0,0,0,0,283,0,0,0,0,0,0,0,0,0,0,0,0,0,124348,0,0,0,0,216537.66,0,0
2023/1/29,GLOBAL_PPS-US,0,14408,3987,25609,0,16725,0,11990,0,161,0,0,0,0,357,1147564,131221,3797748,0,1382256,0,1844130,0,7479,0,0,0,0,491848.28,124094.38,367753.9
2023/1/29,DBNX,740,7066,17938,16017,0,0,0,2146,0,2024,0,0,0,535,68007,1122487,209231,2487142,0,0,0,891049,0,774248,0,0,0,95270,3382330.46,451445.75,2930884.71
2023/1/29,US_Soundcore,0,3617,3623,11446,0,0,0,19867,448,6223,0,0,0,272,0,759060,26758,1141821,0,0,0,1962609,56631,1455181,0,0,0,46535,2686089.81,43347.08,2642742.73
2023/1/29,UK_IE,1483,6518,11680,6316,0,0,0,5143,0,212,0,0,0,0,100341,1128334,105462,814287,0,0,0,1147879,0,65368,0,0,0,0,2403667.14,243703.17,2159963.97
2023/1/29,ANZ,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,0,0,0,0,0,0,0,0,0,0,120724.85,8913.42,111811.43
2023/1/29,US_Eufy,583,3480,26736,41742,0,8208,0,66621,2662,2243,0,0,0,0,60149,1206531,1331016,3978664,0,1992350,0,9331212,286592,343566,0,0,0,0,4056336.26,544800.73,3511535.53
2023/1/29,CA,0,108,7061,0,0,0,0,474,69,503,0,0,0,0,0,32619,563134,0,0,0,0,72456,24666,140761,0,0,0,0,1012738.85,33741.66,978997.19
2023/2/5,GLOBAL_PPS-US,0,11289,3855,42915,0,7327,0,30966,0,502,0,0,0,0,0,841413,72296,2801662,0,613359,0,4376195,0,14302,0,0,0,0,609124.36,179290.6,429833.76
2023/2/5,DBNX,802,13531,18306,35961,0,0,0,4050,0,1826,0,0,0,558,55629,2239116,263668,3948419,0,0,0,1503574,0,601661,0,0,0,97107,3740849.74,452428.08,3288421.66
2023/2/5,UK_IE,1988,8907,12956,9314,0,0,0,8812,0,169,0,0,0,0,181025,1866397,117339,1226225,0,0,0,2176059,0,21170,0,0,0,0,2294845.66,239599.72,2055245.94
2023/2/5,Spark,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3457,0,0,0,0,725003.41,2982.85,722020.56
2023/2/5,CA,0,150,9737,3970,0,0,0,485,61,517,0,0,0,0,0,62099,536007,516603,0,0,0,69482,18298,151665,0,0,0,0,1001831.96,53327.61,948504.35
2023/2/5,ANZ,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,443,0,0,0,0,0,0,0,0,0,0,0,129446.56,11066.68,118379.88
2023/2/5,GLOBAL_PPS-Other,0,0,0,0,0,0,0,0,0,1361,0,0,0,0,0,0,0,0,0,0,0,25,0,294564,0,0,0,0,0,0,0
2023/2/5,MEA,0,0,0,0,0,0,0,0,0,307,0,0,0,0,0,0,0,0,0,0,0,0,0,153879,0,0,0,0,207096.17,0,0
2023/2/5,GLOBAL_PPS-EU,0,8861,2920,50807,0,4835,0,27729,0,525,0,0,0,197,0,875789,68208,7031197,0,762927,0,9447955,0,57532,0,0,0,12316,711604.53,273731.18,437873.35
2023/2/5,US_Anker,1210,5960,19675,42627,2578,978,0,77556,350,1658,0,0,0,0,69115,1301457,159598,4566184,1166014,120778,0,11210301,30468,342188,0,0,0,0,7228624.65,310423.18,6918201.47
2023/2/5,Other,0,2667,780,3094,0,0,0,1106,658,897,0,0,0,0,0,438556,8282,911459,0,0,0,677514,101218,481961,0,0,0,0,159164.28,73605.87,85558.41
2023/2/5,US_Soundcore,0,5500,4832,14893,0,0,0,19149,401,5747,0,0,0,348,0,1192938,38498,1838900,0,0,0,2190584,49342,1331418,0,0,0,45555,3037919.49,100598.06,2937321.43
2023/2/5,US_Eufy,593,3787,29762,50944,0,0,0,37745,2356,1824,0,0,0,0,49020,564041,1953977,3256717,0,0,0,4324902,230956,394166,0,0,0,0,3755566.15,516878.81,3238687.34
2023/2/12,US_Soundcore,0,4791,3552,13685,496,603,12242,29057,415,5046,0,0,0,303,0,729865,24274,961941,166204,186245,3187256,3152501,54463,1546020,0,0,0,36388,2693474.87,53150.66,2640324.21
2023/2/12,DBNX,988,11586,18954,20369,0,1037,0,15868,0,1184,0,0,0,389,73975,1925019,217775,3266554,0,133535,0,4003642,0,457456,0,0,0,79163,3018898.09,392633.85,2626264.24
2023/2/12,GLOBAL_PPS-EU,0,12937,3156,73543,0,7652,0,21115,0,333,0,0,0,104,0,751805,26030,12219823,0,1052521,0,5928052,0,54106,0,0,0,12357,467585.07,168045.8,299539.27
2023/2/12,Spark,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3241,0,0,0,0,594134.09,860.43,593273.66
2023/2/12,CA,0,33,9140,3921,0,0,0,524,23,429,0,0,0,0,0,10089,519665,507378,0,0,0,66357,7300,205264,0,0,0,0,884511.38,56350.29,828161.09
2023/2/12,Other,0,3003,766,3269,0,0,84,3654,956,4242,0,0,0,0,0,755353,7621,983466,0,0,2534,1577607,142870,2118494,0,0,0,0,411730.82,89882,321848.82
2023/2/12,ANZ,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,173816.11,15715.63,158100.48
2023/2/19,ANZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177060.69,20719.24,156341.45
2023/2/12,GLOBAL_PPS-US,0,11005,4591,48685,0,8488,0,26844,0,521,0,0,0,0,0,876981,24342,3206144,0,645467,0,3221138,0,10652,0,0,0,0,688395.7,193687.23,494708.47
2023/2/12,US_Eufy,513,8234,40759,52049,0,3629,0,39624,2299,1846,0,0,0,0,58349,1133760,2106083,3554469,0,270863,0,3867246,199535,485242,0,0,0,0,4254682.25,691530.31,3563151.94
2023/2/12,MEA,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,0,0,116254,0,0,0,0,208935.92,0,0
2023/2/12,US_Anker,2209,7206,20993,59410,5639,13871,0,91309,199,978,0,0,0,0,111318,1343938,168151,9282024,2947870,1563964,0,12309442,16671,203780,0,0,0,0,7039347.85,367340.58,6672007.27
2023/2/12,UK_IE,1141,8712,13737,9311,0,0,0,16680,0,168,0,0,0,0,126329,1489297,120291,1463239,0,0,0,3803744,0,40576,0,0,0,0,2216602.1,272429.7,1944172.4
2023/2/12,GLOBAL_PPS-Other,0,0,0,0,0,0,0,0,0,1348,0,0,0,0,0,0,0,0,0,0,0,0,0,251951,0,0,0,0,0,0,0
2023/2/19,US_Anker,2638,8845,26428,56158,5413,11042,0,82914,0,1612,0,0,0,0,77134,1715283,183977,7534478,2890199,1236746,0,10654300,0,339675,0,0,0,0,7406442.49,385182.77,7021259.72
2023/2/19,UK_IE,1164,6692,12901,7536,0,0,0,16594,0,174,0,0,0,0,86975,1229952,120687,970633,0,0,0,3616850,0,40433,0,0,0,0,2240624.52,222455.95,2018168.57
2023/2/19,DBNX,1061,14936,20476,36741,0,2427,0,16140,0,991,0,0,0,630,25605,2560531,231121,4753380,0,445033,0,3726451,0,409603,0,0,0,128747,3485318.66,416716.6,3068602.06
2023/2/19,US_Eufy,340,10863,38814,142491,0,7137,0,49911,2450,2225,0,0,0,0,55883,856267,2337091,7396504,0,1102706,0,5575690,195208,507919,0,0,0,0,4908941.84,920589.81,3988352.03
2023/2/19,CA,0,0,5762,2202,0,0,0,536,0,410,0,0,0,0,0,0,339608,237666,0,0,0,64218,0,233596,0,0,0,0,1077766.35,99427.52,978338.83
2023/2/19,Spark,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1288,0,0,0,0,573894.35,2847.98,571046.37
2023/2/19,MEA,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,0,0,0,0,111432,0,0,0,0,212560.4,0,0
2023/2/19,GLOBAL_PPS-EU,0,17420,7222,24766,0,11950,0,5324,0,4,0,0,0,71,0,908664,51037,4211531,0,2062554,0,2379452,0,1108,0,0,0,8671,666322.39,303112.89,363209.5
2023/2/19,US_Soundcore,0,4772,2685,8634,173,74,6843,26447,480,4485,0,0,0,239,0,745339,19568,738604,69183,13423,1880817,2973160,65870,1464511,0,0,0,36080,2769163.86,52223.62,2716940.24
2023/2/19,GLOBAL_PPS-Other,0,0,0,0,0,0,0,0,0,1336,0,0,0,0,0,0,0,0,0,0,0,0,0,212406,0,0,0,0,0,0,0
2023/2/19,GLOBAL_PPS-US,0,21849,5339,12929,0,4794,0,5604,0,143,0,0,0,0,0,1747690,24907,1657417,0,350265,0,696055,0,3018,0,0,0,0,647719.66,160477.22,487242.44
2023/2/19,Other,0,2515,734,4774,0,0,755,3473,1562,6552,0,0,0,0,0,333432,7913,1223002,0,0,254665,1517811,216867,3450540,0,0,0,0,432694.31,101656.16,331038.15
2023/2/26,DBNX,938,17123,23326,49406,0,1937,0,10158,0,965,0,0,0,454,18029,3856430,262582,6179089,0,427052,0,1726816,0,446373,0,0,0,90830,3412091.52,486335.4,2925756.12
2023/2/26,US_Anker,2571,8469,21705,33245,5594,11852,0,82484,0,1891,0,0,0,0,136762,1860535,162939,3459245,3180938,1394113,0,10066772,0,421369,0,0,0,0,7058884.42,250469.71,6808414.71
2023/2/26,ANZ,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,434,0,0,0,0,0,0,0,0,0,0,0,174192.72,16287.92,157904.8
2023/2/26,GLOBAL_PPS-US,0,23475,8447,41079,3999,3951,0,5623,0,67,0,0,0,0,0,1649809,32651,4323903,2317956,73307,0,2821557,0,2785,0,0,0,0,825612.34,214376.42,611235.92
2023/2/26,UK_IE,1616,8416,13191,7142,0,0,4040,7880,0,170,0,0,0,0,116523,1518057,118708,969947,0,0,1170601,1620996,0,21812,0,0,0,0,2266319.18,208155.5,2058163.68
2023/2/26,GLOBAL_PPS-EU,0,28879,5941,69673,0,7019,0,1489,0,0,0,0,0,76,0,1298974,38355,10417775,0,1148758,0,445239,0,0,0,0,0,3823,493398.96,213648.82,279750.14
2023/2/26,Other,0,3546,1490,4049,0,0,161,14126,441,8491,0,0,0,0,0,377183,19634,932413,0,0,35065,5701556,58196,4308092,0,0,0,0,342404.61,86356.75,256047.86
2023/2/26,GLOBAL_PPS-Other,0,0,0,1136,0,0,0,3601,0,6672,0,0,0,0,0,0,0,177012,0,0,0,1661157,0,1589558,0,0,0,0,0,0,0
2023/2/26,Spark,0,169,729,0,0,0,0,0,0,0,0,0,0,0,0,18897,5942,0,0,0,0,0,0,0,0,0,0,0,703514.8,4040.49,699474.31
2023/2/26,CA,0,0,9008,2095,0,0,0,516,0,454,0,0,0,0,0,0,672209,269577,0,0,0,61624,0,230223,0,0,0,0,982481.29,51753,930728.29
2023/2/26,MEA,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0,0,115425,0,0,0,0,256739.24,0,0
2023/2/26,US_Eufy,502,10149,38434,81543,0,4959,0,38416,1867,1860,0,0,0,0,83616,689173,1690021,5132687,0,736413,0,3739459,172031,407360,0,0,0,0,4102100.02,572757.71,3529342.31
2023/2/26,US_Soundcore,0,5379,4069,6903,0,0,0,8920,1006,5707,0,0,0,229,0,946828,40091,305407,0,0,0,1187076,119701,1625141,0,0,0,36442,2896538.84,32271.66,2864267.18
2023/3/5,GLOBAL_PPS-US,0,28890,6901,60547,6996,2542,3540,5634,0,266,0,0,0,0,0,1676783,29280,6335541,4100165,44440,622341,3964631,0,14875,0,0,0,0,1088679.5,346277.68,742401.82
