week,bing_spend,display_spend,search_spend,dv360_spend,pmax_spend,apple_news_spend,demandgen_spend,fb-ig_spend,twitter_spend,youtube_spend,tiktok_spend,dsp_spend,SB_spend,SD_spend,SPA_spend,fincast_spend,bing_impression,display_impression,search_impression,dv360_impression,pmax_impression,apple_news_impression,demandgen_impression,fb-ig_impression,twitter_impression,youtube_impression,tiktok_impression,dsp_impression,SB_impression,SD_impression,SPA_impression,fincast_impression,promotion,google_search_index,amz_search_without_keywords,amazon_rev,dtc_rev,total_rev,gsc,SPA品类词_spend,SPA竞品词_spend,SPA品牌词_spend,SB品类词_spend,SB竞品词_spend,SB品牌词_spend,SB品类词_impression,SB竞品词_impression,SB品牌词_impression,SPA品类词,SPA竞品词,SPA品牌词
2023-08-27,1594.52,0,18705.26,0,15159.42,0,0,81255.98,52344.12,0,0,181578.11,68967.22,21773.93,530159.21,0,112563,0,192179,0,2878558,0,0,10797672,29774748,0,0,13053472,1978578,4907544,46652931,0,0,35,725664,7541523.18,321381.2,7862904.38,230186,271628.1,153693.99,104837.12,59388.46,0,7777.85,1579767,0,367847,1579767,0,367847
2023-09-03,1421.77,9.53,23217.7,0,16357.7,0,0,91478.13,37736.76,0,3276.82,162362.31,72715.93,22325.39,582782.13,0,52597,2580,237833,0,2461124,0,0,12285432,16551981,0,463869,14080209,2073956,4951946,51502025,0,0,35,723302,7731919.018,296282.16,8028201.178,219565,294970.66,169945.28,117866.19,61290.52,0,9739.24,1659746,0,388053,1659746,0,388053
2023-09-10,1481.5,4061.47,32644.66,0,25885.91,0,0,80142.56,12370.89,496.15,10351.34,135350.37,73309.63,18552.47,638472.63,0,62995,1861124,264676,0,3726876,0,0,10153286,4283795,89141,1250511,12632580,2243319,4001249,57259508,0,0,38,910942,9816413.485,461321.55,10277735.03,277225,312682.31,190349.99,135440.33,54065.88,0,14991.74,1529258,0,634707,1529258,0,634707
2023-09-17,1926.75,5283.11,39189.37,0,30962.51,0,0,59522.39,16641.04,0,16896.9,124723.22,73866.98,13119.22,513014.89,0,74450,4394669,313517,0,4076534,0,0,8276034,6384496,0,2030351,11438244,2551552,2281981,39413896,0,0,41,1091879,11122678.7,523260.94,11645939.64,280965,229320.81,166738.96,116955.12,53105.98,0,18156.61,1876791,0,634666,1876791,0,634666
2023-09-24,2352.33,20255.71,36746.12,0,24135.75,0,0,78861.19,39635.28,0,4768.54,150459.93,49602.06,9261.45,299259.48,0,74843,13223158,284121,0,3214200,0,0,10408087,14544791,0,962000,14968981,1655953,1549823,23432449,0,0,44,1197063,9717122.15,441750.81,10158872.96,274908,133221.87,90044.58,75993.03,33981.57,0,13997.18,1146143,0,466809,1146143,0,466809
2023-10-01,2381.79,20462.57,25498.54,0,17172.38,0,0,81864.9,40900.73,0,97012.73,181036.75,63280.69,8515.54,298338.97,0,78032,13393427,227479,0,2485398,0,0,11071618,14613908,0,20056526,24759559,2028322,1260877,27561440,0,0,41,1049588,8396991.4,317735.29,8714726.69,250577,122751.07,78561.64,97026.26,39781.31,0,14900.53,1288974,0,551017,1288974,0,551017
2023-10-08,2488.91,18007.21,45408.53,0,17247.68,0,0,169967.77,75333.6,0,139907.17,455576.01,73304.24,25535.88,383228.71,0,114919,12351453,393193,0,2725987,0,0,18712726,36301364,0,31934880,52622106,2560428,3632608,37800392,0,1,51,2091565,17291534.93,397872.47,17689407.4,319470,155582.84,99210.11,128435.76,34463.45,0,27673.64,1277728,0,1035842,1277728,0,1035842
2023-10-15,1845.72,2179.95,26847.18,0,12498.28,0,0,64108.49,18653.59,0,136344.06,230026.47,54422.86,14404.72,273498.52,0,128655,1781279,242737,0,2306971,0,0,8438785,8186893,0,36420791,26049160,2216704,3358027,30820790,0,0,42,972818,8466715.54,331322.81,8798038.35,250355,123220.11,67713.86,82564.55,34221.72,0,17484.58,1474785,0,675171,1474785,0,675171
2023-10-22,2102.87,2352.01,22295.03,0,9049.04,0,0,44648.06,18145.77,0,99110.97,170617.58,61507.59,9870.2,278558.01,0,148806,2028888,244608,0,1716312,0,0,6139104,5913345,0,21166757,18664820,2244911,3265215,31357500,0,0,45,906343,7761096.575,276362.06,8037458.635,243553,133490.27,65793.1,79274.64,38884.73,776.33,18699.09,1458623,28206,672010,1458623,28206,672010
2023-10-29,1980.34,5264.38,24483.89,0,8306.58,0,0,54437.71,17466.67,0,34812.62,142097.84,59821.92,9547.43,276826.05,0,160611,3868896,238510,0,1502833,0,0,7950248,7332753,0,4916094,11042742,2390063,2563105,35156494,0,0,42,858393,8352018.292,271814.87,8623833.162,230815,139461.84,60821.65,76542.56,37876.52,248.03,18423.3,1588380,14577,711815,1588380,14577,711815
2023-11-05,2576.17,2443.69,19836.47,0,11746.46,0,0,59077.01,14768.87,0,35890.93,133760.93,53630.4,7833.03,274149.4,0,156745,2055921,163304,0,1948711,0,0,8318539,6955776,0,4374695,9918567,2470092,1604655,35332393,0,0,44,872499,7900321.783,404130.72,8304452.503,249671,129757.32,65094.63,79297.45,31375.24,0,19506.72,1683728,0,717710,1683728,0,717710
2023-11-12,2560.69,2551.5,32117.13,0,20420.66,0,0,88166.48,24792.69,0,85234.25,173236.43,39338.46,4160.75,213787.19,0,151310,1955664,231852,0,3071067,0,0,9209815,15942511,0,9941719,13438015,2193532,668964,29711746,0,1,50,966928,8721309.865,476559.24,9197869.105,289213,83001.04,48982.49,81803.66,18319.85,0,19915.39,1362977,0,799724,1362977,0,799724
2023-11-19,4408.96,1934,62766.5,0,26787.23,0,0,143082.9,81925.21,0,226635.53,355769.84,41535.6,3009.67,206598.38,0,163029,1784514,432740,0,3735678,0,0,10136208,46384519,0,21880147,26881257,2185481,372638,48397421,0,1,80,2103524,18804983.81,791604.57,19596588.38,415853,73965.07,28570.67,104062.64,15912.09,0,24757.68,1237116,0,907527,1237116,0,907527
2023-11-26,6784.06,1844.76,54698.35,0,21972.39,0,0,107400.59,54862.75,0,91115.74,254498.47,32054.56,1868.1,161839.35,0,700896,2199248,364892,0,3050034,0,0,9642032,31909863,0,9624564,26005891,1892219,256267,40135996,0,1,67,1525865,13774181.66,544834.23,14319015.89,313709,59992.87,27272.31,74574.17,14595.35,0,16726.02,1094710,0,766837,1094710,0,766837
2023-12-3,2534.65,1267,38943.69,0,19435.96,0,0,63671.43,32118.74,0,45131.53,109667.01,10143.17,482.87,107792.54,0,235964,2506901,275694,0,2820891,0,0,7372532,17909857,0,6850309,12177843,639201,79186,21805595,0,0,49,986025,10109200.1,336333.92,10445534.02,267058,41338.04,15538.55,50915.95,5311.33,0,4640.48,398009,0,232396,398009,0,232396
2023-12-10,2477.8,984,26881.3,0,18154.34,0,0,61414.32,34964.8,0,157214.37,90736.81,1692.47,6.89,93329.17,0,99854,1583180,207549,0,2581946,0,0,7199893,13678838,0,21046337,11132949,81495,1200,14276843,0,0,42,991894,10968138.26,344081.68,11312219.94,264986,36518.97,13419.39,43390.81,897.14,0,785.61,70680,0,10767,70680,0,10767
2023-12-17,2331.12,1960,22156.9,0,9806.46,0,0,60149.38,37449.4,0,110047.32,72287.49,2056.8,6.98,92678.81,0,143257,3751020,210168,0,1832544,0,0,8082931,23559411,0,16265750,9859097,105431,1269,16412374,0,0,43,1059323,9410659.641,298387.29,9709046.931,264752,31847.58,12894.86,47936.37,864.85,0,1183.79,65138,0,40246,65138,0,40246
2023-12-24,2532.24,2175,27686.6,0,11430.99,0,0,54259.63,25958.7,0,226399.15,40496.7,2578.19,7.03,94003.15,0,204469,2666467,237961,0,2401110,0,0,8510548,18551527,0,15706288,8463804,179142,1166,20570357,0,0,51,1074009,8594570.99,343862.97,8938433.96,282083,31650.93,14123.13,48229.09,1090.92,0,1478.47,98451,0,80647,98451,0,80647
2023-12-31,1926.74,0,13361.27,0,12698.46,0,0,8981.04,3822.21,0,29024.82,23110.73,4400.4,197.54,94246.83,0,224622,0,135373,0,2381850,0,0,2301998,3647269,0,4114001,6610905,385948,46468,21062245,0,0,50,860807,8315078.98,276867.83,8591946.81,234362,34440.87,12989.22,46816.74,1333.18,0,3058.1,122251,0,263650,122251,0,263650
2024-1-7,1330.97,315.66,19773.01,5179.27,16460.99,3152.88,0,19138.13,8014.89,0,22171.33,40935.44,12990.78,348.32,119410.37,0,93569,104349,166694,1135418,3015925,1050959,0,3676984,6643315,0,3807090,7793475,750470,81657,19643854,0,0,38,840411,8098716.059,400466.71,8499182.769,254945,50526.27,18109.29,50774.81,4122.46,0,8859.07,199780,0,550651,199780,0,550651
2024-1-14,1525.48,897.67,13484.34,0,15904.13,0,0,19991.42,9988.09,0,51009.99,42437.72,18677.92,348.95,150466.42,0,87338,338241,116963,0,2737037,0,0,3532694,9199230,0,8740984,6716890,1206711,84298,22084964,0,0,39,789046,7644254.371,339316.47,7983570.841,235091,76529.06,20400.69,53536.67,5911.41,0,12757.18,366053,0,840616,366053,0,840616
2024-1-21,1417.51,0,14492.71,0,16931.71,0,0,15887.04,8340.8,0,77164.94,36536.57,28307.02,167.44,166018.37,0,78136,3936,114344,0,2882202,0,0,2777079,8790382,0,11310992,4362331,1819522,37781,25827593,0,0,34,782153,8080688.55,279074.59,8359763.14,225369,79164.18,27020.22,59833.97,10949.14,0,17355.75,825984,0,993535,825984,0,993535
2024-1-28,1329.99,0,14276.43,0,14661.16,0,0,17785.68,6527.39,0,56326.75,28035.01,25662.68,35.42,199762.52,0,68454,1195,118212,0,2752046,0,0,2661315,6603388,0,7550000,4228621,1619252,9120,30962792,0,0,34,784862,8267513.299,321260.87,8588774.169,234743,101807.78,33080.93,64873.81,10400.48,0,15262.2,853995,0,765257,853995,0,765257
2024-2-4,1229.48,0,12991.81,0,13457.42,0,0,18859.27,5007.81,0,52460.55,29222.44,26515.18,438.19,206956.32,0,75603,430,106873,0,2561654,0,0,2611371,3883003,0,7900134,3703864,1540426,115815,27958778,0,0,35,748981,8134436.626,247880.3,8382316.926,228445,104676.71,38285.71,63993.9,10648.58,0,15866.6,821461,0,718965,821461,0,718965
2024-2-11,1108.73,0,14243.44,0,15419.56,0,0,24511.81,7949.01,0,41201.36,31102.05,26748.34,422.96,212843.49,0,85353,0,119635,0,2684376,0,0,3583549,5933716,0,6636050,4312521,1492006,87500,26812924,0,0,39,712903,7962614.303,250084.19,8212698.493,220712,107278.61,41871.68,63693.2,10625.08,0,16123.26,684287,0,807719,684287,0,807719
2024-2-18,902.94,0,12512.37,0,12020.68,0,0,15943.85,4345.16,0,43344,32286.26,28930.4,168.69,258330.47,0,72070,0,111416,0,2253516,0,0,2483759,4254020,0,5798222,5243707,1576599,34897,31588658,0,0,37,775203,8218116.172,308376.29,8526492.462,223074,136167.22,47016.27,75146.98,11976.21,0,16954.19,840327,0,736272,840327,0,736272
2024-2-25,1561.8,0,15984.84,0,15035.21,0,0,19118.23,3557.85,0,60240.18,42033.15,25163.28,455.73,279486.62,0,123281,0,131046,0,2758679,0,0,2947992,3452250,0,7724192,6997325,1677025,60993,34088661,0,0,37,751406,8477344.66,284992.83,8762337.49,221798,151893.7,50516.78,77076.14,10558.69,0,14604.59,1092938,0,584087,1092938,0,584087
2024-3-3,1658.65,0,18081.53,0,15653.07,0,0,18264.14,4134.49,0,51478.98,50360.33,25493.77,1399.32,296301.09,0,112935,0,126857,0,2831764,0,0,2798209,4124991,0,6954978,6992265,1785071,253747,39869995,0,0,35,745267,8524615.013,245549.8,8770164.813,232448,158240.58,50564.42,87496.09,10807.38,0,14686.39,1164609,0,620462,1164609,0,620462
2024-3-10,2539.27,0,14494.9,0,17530.09,0,0,18877.11,4957.97,0,51361.28,63341.62,24370.46,1097.74,283390.27,0,348792,0,104376,0,3181155,0,0,2518535,6262555,0,5321839,6784763,1833684,207279,38686132,0,0,35,731610,8169636.462,309960.04,8479596.502,222440,150726.01,52553.65,80110.61,11582.33,0,12788.13,1171669,0,662015,1171669,0,662015
2024-3-17,3766.71,0,24011.45,0,24388.26,0,0,40272.74,9609.81,0,65162.66,128177.14,24790.31,454.38,277413.28,0,794515,0,148973,0,4011917,0,0,4061500,11856506,0,8150836,10091320,1968465,96715,45428490,0,0,37,821389,9395588.469,352356.93,9747945.399,229444,133723.51,49599.03,94090.74,12002.34,0,12787.97,1159047,0,809418,1159047,0,809418
2024-3-24,4317.77,0,22309.13,0,22555.91,0,0,29845.3,8612.27,0,52285.33,80462.6,23602.24,181.71,247197.99,0,1006903,0,155909,0,3725961,0,0,3413641,12722652,0,4506907,7370003,1656014,35735,39177562,0,0,40,778596,8223410.679,357320.82,8580731.499,202154,118598.23,45818.72,82781.04,12288.51,0,11313.73,1066520,0,589494,1066520,0,589494
2024-3-31,3004.78,0,24105.73,0,22141.71,0,0,31060.31,5880,0,19441.29,66834.02,25453.63,348.1,263709.1,0,439144,0,170059,0,3652253,0,0,3974409,8717662,0,2168917,7510052,1936411,70590,44002270,0,0,39,767751,8755763.412,315106.13,9070869.542,195980,136317.47,46448.02,80943.61,13544.24,0,11909.39,1159771,0,776640,1159771,0,776640
2024-4-7,1657.02,0,17353.16,0,20200.12,0,0,27896.8,5365.78,0,13041.58,62575.29,25505.64,461.12,230422.94,0,66043,0,121628,0,3775038,0,0,3719902,5063571,0,1548290,7129565,1936306,46119,39306753,0,0,36,744700,8422514.553,268403,8690917.553,193531,116134.75,44748.09,69540.1,13515.45,0,11990.19,1259790,0,676516,1259790,0,676516
2024-4-14,1824.48,0,22576.87,0,19513.73,0,0,56910.57,9358.11,0,26108.92,90540.01,31358.98,784.58,233228.88,0,60524,0,154339,0,3229345,0,0,6731909,10128822,0,3492364,9456692,2239423,274002,42178891,0,0,36,758342,8814354.398,361522.17,9175876.568,198221,107629.51,45403.32,80196.05,16005.74,605.86,14747.38,1520705,31291,687427,1520705,31291,687427
2024-4-21,1850.17,0,24150.79,0,18654.97,0,0,31105.15,3068.39,0,34152.04,58203.15,34102.19,1101.04,234972.33,0,69158,0,155343,0,3182572,0,0,3653010,3412316,0,2591082,5882099,2309802,351578,35375897,0,0,41,743336,8402127.318,411832.5,8813959.818,225325,113179.06,48390.1,73403.17,18840.92,957.64,14303.63,1552701,51227,705874,1552701,51227,705874
2024-4-28,1102.92,0,19895.84,0,15357.38,0,0,21700.69,4629.55,0,73517.01,30510.19,33574.53,1016.04,262530.84,104461.5531,89663,0,153965,0,2566178,0,0,2649437,3980960,0,5639819,3209066,2996878,362689,38570796,602953,0,36,718962,8465629,227267.86,8692896.86,196145,129359.54,52936.66,80234.64,19090.12,1258.89,13225.52,2020195,82331,894352,2020195,82331,894352
2024-5-5,856.35,0,17194.87,0,12521.17,0,0,13945.28,6473.9,0,47171.23,61856.46,35385.58,407.95,232165,180228.6292,70601,0,138294,0,2135140,0,0,1759272,4775766,0,3738056,7229044,2915614,62987,29526650,4106065,0,41,614555,8292130.28,261009.99,8553140.27,187578,112062.23,48862.35,71240.42,19765.2,819.25,14801.13,1812069,47264,1056281,1812069,47264,1056281
2024-5-12,1575.71,0,19439.68,0,15606.14,0,0,20678.05,7480.9,0,138605.24,52234.67,41366.03,600.78,274074.71,176248.753,71664,0,145327,0,2583912,0,0,2616984,5894653,0,14269242,5234096,3444606,83712,37690253,4106065,0,38,759364,9091854.3,329109.27,9420963.57,231736,118182.29,61176.69,94715.73,25427.86,80.99,15857.18,1998101,2919,1443586,1998101,2919,1443586
2024-5-19,2519.39,1739.73,24057.04,0,15991.21,0,0,29135.86,9854.4,0,66142.22,44987.84,41261.79,707.65,295335.46,136510.4378,54842,874438,169413,0,2613298,0,0,3810084,6314618,0,5566237,4001906,3561127,118865,38127089,4106065,0,43,790174,9269877.27,348775.92,9618653.19,245567,134403.12,65226.11,95706.23,25373.23,57.64,15830.92,2244570,957,1315600,2244570,957,1315600
2024-5-26,2846.91,2169.42,29884.1,0,21563.33,0,0,29943.86,16822.7,0,55818.59,54451.21,38896.92,459.71,259420.84,134798.7455,70431,1388895,204895,0,3333032,0,0,3844385,11933805,0,4552722,4658109,3497726,64305,33576228,4106065,0,44,863923,9207151.88,321346.11,9528497.99,248300,125213.12,55379,78828.72,22736.25,53.56,16107.11,2228610,647,1268469,2228610,647,1268469
2024-6-2,1860.82,1376.5,23663.18,0,17935.19,0,0,21786.61,15672.01,47922.88,17568.81,61696.53,38120.19,365.21,238153.98,297825.5404,54763,725660,184546,0,2883661,0,0,2633207,10305955,5091263,1422512,4841099,3098341,55477,27590151,3757651,0,44,793353,9007558.17,275059.15,9282617.32,253921,112738.83,53968.45,71446.7,23987.86,40.61,14091.72,1976585,286,1121470,1976585,286,1121470
2024-6-9,945.55,1160.64,15727.02,0,12657.31,0,0,38569.77,9217.43,177329.76,10525.57,63059.75,40744.97,439.02,259503.73,169215.7072,18366,611517,128510,0,2146083,0,0,4080766,5485360,19082541,699715,5462789,3464962,70011,30973144,7515303,0,47,823150,9557208.92,283500.4,9840709.32,269243,119189.06,64736.15,75578.52,25858.93,39.44,14846.6,2222658,330,1241974,2222658,330,1241974
2024-6-16,790.09,1360.37,12862.12,0,12755.2,0,0,38737.69,7765.16,0,86373.92,56523,39881.57,411.1,242206.36,0,16508,942448,119366,0,2031933,0,0,4388679,4860625,0,11196358,4981956,3298339,64746,29435245,0,0,46,866952,9532292.35,313676.76,9845969.11,262377,119153.38,53177.64,69875.34,24369.8,37.58,15474.19,2092765,553,1205021,2092765,553,1205021
2024-6-23,634.1,997.68,13636.59,0,12043.75,0,0,23034.48,7525.51,0,6740.57,47045.95,39878.29,307.11,236737.31,0,19704,867059,127492,0,2028407,0,0,2763464,4102247,0,237628,4304586,2965676,56634,30439550,0,0,44,801468,8935099.89,263663.21,9198763.1,238701,113353.9,51272.09,72111.32,24619.39,438.3,14820.6,1791545,113952,1060179,1791545,113952,1060179
2024-6-30,1753.34,1632.75,12563.95,0,13040.62,0,0,23109.71,10119.89,19449.49,4636.26,74620.68,39552.39,897.5,206299.37,0,24437,1577960,98273,0,2286608,0,0,2827131,7151450,1985077,172058,7171220,3003836,102453,23020933,0,0,53,832106,7808480.8,279159.89,8087640.69,232007,107051.31,43538.04,55710.02,23428.35,922.38,15201.66,1813494,467299,723043,1813494,467299,723043
2024-7-7,1222.15,1923.95,9442.83,0,12712.15,0,78.08,23543.09,8941.84,9042.39,27410.22,151557.88,38730.67,851.49,211015.76,0,13936,1564764,80721,0,2327399,0,9242,2544935,5895381,1934207,2699046,14003349,3348141,111888,24558353,0,0,62,919712,8275124.54,272777.54,8547902.08,288083,110245.6,44623.01,56147.15,22567.48,899.79,15263.4,2028116,493920,826105,2028116,493920,826105
2024-7-14,2372.59,1713.23,14076.61,0,13327.19,0,2821.17,101266.22,15863.43,16854.14,12722.96,255972.21,52438,4492.08,288449.5,0,25202,1188200,97122,0,2492889,0,874104,8943021,6919263,4638659,1198507,24921812,3722976,388500,36847901,0,1,87,1935257,22649109.63,393863.77,23042973.4,354261,148016.39,46223.63,94209.48,30303.82,1659.91,20474.27,2229777,300823,1192376,2229777,300823,1192376
2024-7-21,771,1668.52,13985.35,0,8605.57,0,260.8,70865.01,7258.92,4229.81,1445.87,67271.11,37471.76,591,182414.1,0,22716,1158168,115473,0,1919354,0,44461,6931593,2400988,1631507,65466,7831914,3329825,126494,22365415,0,0,57,851718,8612350.8,197812.7,8810163.5,248039,90330.96,39338.43,52744.71,23787.57,1263.54,12420.65,2059754,396745,873326,2059754,396745,873326
2024-7-28,387.46,662.21,11522.59,0,7998.48,0,0,40981.1,2972.42,1327.73,2287.86,50482.45,35394.29,1625.46,195132.71,0,17204,624219,101070,0,1864540,0,0,3983081,1190128,307309,85081,6409180,3261271,405334,23960333,0,0,55,791792,9082417.44,216289.23,9298706.67,237277,100211.44,37734.46,57186.81,23039.65,1036.19,11318.45,2009435,405966,845870,2009435,405966,845870
2024-8-4,287.9,0,13221.21,0,14856.67,0,26514.63,22089.95,2048.55,5020.55,3022.06,41695.07,40802.73,2980.8,236050.5,0,14286,0,104398,0,2272855,0,5197797,2602427,1516986,1057470,103761,4705841,3287226,521861,30666114,0,0,54,810792,9213311.46,591746.97,9805058.43,257862,101745.87,43918.97,90385.66,21963.87,851.37,17987.49,1872856,342111,1072259,1872856,342111,1072259
2024-8-11,61.36,0,14547.68,0,17320.37,0,8984.43,42068.86,4286.34,9667.19,1858.84,45252.67,47571.9,6092.31,293530.75,0,15266,0,107458,0,3443935,0,766035,4878495,3336283,1112428,63706,4647118,3638886,789907,37599270,0,0,61,891823,10383302.84,377806.06,10761108.9,272879,120053.47,58554.48,114922.8,23193.1,1472.3,22906.5,2144884,206470,1287532,2144884,206470,1287532
2024-8-18,128.63,3188.93,14779.33,0,12817.46,0,18896.48,49827.97,5621.55,8932.13,12667.64,48305.12,45418.05,5839.17,282639.56,0,22045,575572,114210,0,3138424,0,1143093,5445205,3180641,2745684,766329,4640938,3481854,800253,37934161,0,0,60,851883,9761928.16,346389.51,10108317.67,264472,121430.61,55403.7,105805.25,20594.15,1489.21,23334.69,2073401,198234,1210219,2073401,198234,1210219
2024-8-25,250.79,2519.89,20449.01,0,17249.96,0,10342.66,59010.82,6061.43,18960.1,3674.15,53258.74,46180.2,6467.07,310266.65,0,24469,577548,155810,0,3789580,0,765824,6237985,3248621,6992699,112283,7360067,3501282,815110,37490280,0,0,52,858402,9623052.5,319773.03,9942825.53,269317,141310.65,59804.35,109151.65,20405.84,986.56,24787.8,1896250,321046,1283986,1896250,321046,1283986
2024-9-1,208.57,0,16462.57,0,19223.82,0,0,54430.88,7913.13,15375.06,3873.9,57230.7,47646.99,7190.27,333728.07,0,17482,0,135517,0,4828061,0,0,7095093,3544930,4554185,141748,6165012,3282548,906022,36335663,0,0,60,857132,9439587.95,369101.64,9808689.59,274130,159757.53,55822.51,118148.03,21575.51,858.74,25212.74,1849574,257227,1175747,1849574,257227,1175747
2024-9-8,489.65,0,21354.66,0,17678.45,0,0,65128.59,9559.79,52473.59,4795.84,85979.04,62048.24,7206.51,386571.19,0,19776,0,165195,0,4625553,0,0,7041836,4703653,17772529,180390,9562863,4004104,828725,46001593,0,0,60,931408,10586026.02,409242.61,10995268.63,304812,199094.31,48932.58,138544.3,27580.95,1096.99,33370.3,2190512,261090,1552502,2190512,261090,1552502
