week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev
2023/4/9,128555.07,18584.9,759.69,0,0,31776.51,0,12778.56,4226.1,0,85333.86,0,0,1041910,39,12.40436306,12125642.53,597185,6517910.6,214439.61,6732350.21
2023/4/16,132029.78,18745.51,1060.91,0,1.2,28032.15,0,23506.47,2681.76,0,99827.57,0,0,1074783,37,12.97870448,12319794.48,570887,6262158.96,217890.24,6480049.2
2023/4/23,176304.42,18882.63,2573.34,0,0,34484.65,0,38616.87,4793.31,2000,92636.97,0,0,1009777,38,11.84295056,12487856.39,589030,6298540.36,217599.03,6516139.39
2023/4/30,178510.02,18280.26,2661.94,0,0,30576.89,0,52719.04,0,0,74185.34,0,0,1089033,38,13.22767371,11949539.67,590807,6582344.403,224661.12,6807005.523
2023/5/7,210398.33,19703.59,3372.62,0,0,30004.02,0,42672.41,930.13,0,74368.4,0,0,1088315,41,13.21512915,13016219.38,624112,7507349.2,248630.3,7755979.5
2023/5/14,192472.81,19131.76,3149.71,0,548.51,25151.15,0,18786.98,2116.79,16338.29,71777.52,0,0,1129590,38,13.93626632,11859787.24,609324,6540978.24,206233.44,6747211.68
2023/5/21,173842.52,20458.3,4823.44,0,1705.75,21620.56,0,17995.52,2760.46,461.71,72499.11,0,0,1062038,39,12.7560299,11239638.18,602292,5974327.36,200591.69,6174919.05
2023/5/28,175394.33,22532.75,4948.44,0,804.95,24781.57,1039.99,16895.14,2374.02,3465.34,66248.55,0,0,1103872,40,13.48693366,13383725.21,609976,6409434.21,189210.16,6598644.37
2023/6/4,177263.49,24853.17,5039.32,0,1846.75,30089.96,157.59,39169.4,7600.68,5950.96,70911.69,0,0,1599127,40,22.13979351,12746304.02,621514,6866815.43,241405.35,7108220.78
2023/6/11,189623.97,25268.42,5398.75,0,1786.09,35424.57,655.31,39936.86,4377.81,6922.45,79108.34,0,0,1518057,44,20.72337702,13194567.27,637128,7217622.061,250104.77,7467726.831
2023/6/18,193981.7,26033.97,5191.31,0,1702.63,35834.74,1301.45,40028.61,316.7,4174.47,90937.65,0,0,1558536,45,21.43060686,12695443.09,663059,7067642.611,217836.1,7285478.711
2023/6/25,195681.52,26860.17,5341.01,0,2146.16,30474.87,1001.16,37278.22,0,2744.43,84982.67,0,0,1552712,43,21.3288527,12125761.09,664103,6561485.15,205268.5,6766753.65
2023/7/2,223778.77,30585.4,3924.57,0,2408.15,22588.99,0,21208.47,0,0,59641.77,0,0,1642785,44,22.90256533,12728311.97,698502,6057477.53,243976.33,6301453.86
