week,spa,sb,sd,google_youtube,bing,google_without_youtube,others,fb-ig,twitter,tiktok,dsp,fincast,promotion,amazon search volume,google search index,amazon search index,sales_revenue,amz_search_without_keywords,amz_rev,dtc_rev,total_rev,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions
2022-09-18,131573.03,26140.17,6726.97,7490.25,2931.68,37694.51,0,88901.94,31693.65,29263.14,94549.18,0,0,1830842,43,26.1882078,14895936.14,1148617,7963153.55,341896.19,8305049.74,22394719,2190030,932379,99428,1560696,3195401,11022540,5807651,5114134,16205341,0
2022-09-25,121945.02,18708.43,5796.89,3174.27,2670.27,53231.74,0,101730.13,34898.38,18519.19,99789.29,0,0,1591230,43,22.00182088,13620574.42,843809,7420136.62,361175.64,7781312.26,20432981,1563350,897386,106481,649548,8900696,12186712,8898815,3045460,19099312,0
2022-10-02,108967.78,16733.4,5396.96,0,2246.34,46039.26,0,75990.65,31551.11,14773.74,96659.2,0,0,1258973,39,16.19678458,12220014.57,770774,6698383.7,292325.82,6990709.52,16917665,1430092,787373,122441,0,6117131,8749028,11013297,2885356,23624924,0
2022-10-09,116633.25,25467.34,7245.96,0,2207.18,41996.11,0,73106.53,29839.27,19084.45,224175.75,0,1,1188009,44,14.95693531,19583229.16,1377621,12260223.45,386589,12646812.45,21537151,2619337,1134031,112963,0,4700249,6279969,7699717,3956665,39377361,0
2022-10-16,98927.28,18886.95,4922.64,0,2340.41,38977.44,0,41017.99,7971.31,17647.83,88349.32,0,0,2033688,39,29.73223666,11413753.52,718911,6166756.69,232658.16,6399414.85,19756892,2117376,890031,113304,0,4542988,3418583,1877377,2374147,17584075,0
2022-10-23,117029.52,21282.63,6481.49,0,2969.62,42619.28,0,55588.3,13379.3,20653.84,103825.27,0,0,1677947,39,23.51689907,11711585.56,700113,6219156.53,256488.95,6475645.48,22591219,2440585,1043117,107200,0,5184262,5309292,2887254,2908869,21177222,0
2022-10-30,139688.53,20201.1,6347.56,0,2233.68,36725.14,0,61968.91,20536.59,6990.74,109213.5,0,0,1105383,32,13.51333313,12930115.6,688133,6701556.955,245506.76,6947063.715,23609748,2351511,1243460,68884,0,4827162,7243261,8274320,1171407,22659835,0
2022-11-06,145153.43,20942.26,5756.67,0,1974.64,37637.58,0,61545.42,21773.48,0,111354.75,0,0,1120721,42,13.78131137,12667413.99,732979,6521895.93,307145.08,6829041.01,24900008,2215975,1077116,69712,0,3491740,7335509,11001293,0,21912743,0
2022-11-13,150954.31,21882.18,6597.41,0,2760.89,36595.81,0,65269.52,27063.86,9185.47,81821.72,0,1,1142218,39,14.15689674,13312012.32,741519,6385250.58,314094.83,6699345.41,21613745,2488391,1074935,123743,0,1905298,6693356,14125477,2220039,14105453,0
2022-11-20,231588.17,35899.77,25062.5,0,4170.81,63705.69,0,164914.95,77807.06,11518.58,305748.26,0,1,1394012,57,18.55612177,30951074.32,1608746,13783365.78,961289.97,14744655.75,39601299,3325905,2373237,160734,0,3650305,11075380,28807722,1342001,52414645,0
2022-11-27,189685.49,35364.97,9607.26,0,5090.93,60588.12,0,156514.86,74335.05,19785.19,207457.77,0,1,2614110,59,39.87309383,22865780.07,1366516,12087275.8,812953.79,12900229.59,37758145,3309271,1672048,137810,0,3914277,10028552,31228587,2426882,37960859,0
2022-12-04,138615.76,28618.85,5873.72,0,3492.52,44518.3,0,62768.67,33516.01,205.15,93494.92,0,0,1953148,42,28.32508008,15961899.19,818340,8783794.045,398643.99,9182438.035,25243604,3081834,1321584,108878,0,1967299,6921978,15042754,26037,17195495,0
2022-12-11,140053.17,32708.04,6136.23,0,2804.34,36079.11,0,73344.53,40743.44,0,109789.29,0,0,1334697,50,17.51979829,18022628.95,869702,10643568.45,387117.88,11030686.33,23367546,3790653,1431480,95205,0,1995597,8141155,16481315,0,20819889,0
2022-12-18,109705.79,27631.85,5359.29,0,2512.02,25440.44,0,69787.87,11120.83,0,110982.36,0,0,1356237,50,17.89613493,13035328.34,777309,7065816.332,297428.67,7363245.002,18354804,3329994,1105832,203313,0,1752556,9288990,4245744,0,16763308,0
2022-12-25,116581.63,33071.14,6025.41,0,1791.49,18466.59,0,4866.49,0,0,90601.37,0,0,1188829,56,14.97126196,13315546.1,923954,7759363.885,292253.52,8051617.405,25605285,3684121,1444481,128997,0,2145511,742063,0,0,15096036,0
2023-01-01,101041.36,25159.16,6235.61,0,1435.28,14876.13,0,0,0,0,54176.48,0,0,1390052,46,18.48693453,14899187.26,744339,7151942.105,198053.15,7349995.255,23067303,3087760,1495726,126986,0,1551346,0,0,0,9819926,0
2023-01-08,97668.35,21991.66,5775.48,0,1447.91,9468.25,0,2914.86,0,0,57373.25,0,0,1134463,40,14.02140506,12873471.37,730163,7038815.716,193845.67,7232661.386,20802639,2532631,1295656,116455,0,395615,437289,0,0,9125535,0
