,week,spa_spend,sb_spend,sd_spend,google_youtube_spend,bing_spend,google_without_youtube_spend,fb-ig_spend,twitter_spend,tiktok_spend,dsp_spend,fincast_spend,spa_impressions,sb_impressions,sd_impressions,bing_impressions,google_youtube_impressions,google_without_youtube_impressions,fb-ig_impressions,twitter_impressions,tiktok_impressions,dsp_impressions,fincast_impressions,amazon_search_volume,google_search_index,promotion,amz_rev,dtc_rev,total_rev
39,2022-10-30,517384.36,174388.22,30820.36,7151.81,121256.58,256598.38,282172.52,25977.31,32313.7,342711.33,0,139294209,24614322,5931872,199240,21500243,16248275,26609089,10279742,4502553,106402438,0,1773386,31,0,27143873.56,2168147.396,29312020.96
40,2022-11-06,508749.91,180684.82,28905.25,9255.24,223753.88,257343.57,500068.73,29197.35,46130.37,356034.44,0,139544765,24045896,5173293,300497,38721984,15749178,43949181,14810154,8977237,100513590,0,1857633,33,0,26575308.69,2511920.5,29087229.19
41,2022-11-13,668576.73,250493.65,53956.74,13613.05,11090.48,332105.51,718050.94,46910.14,26479.29,456279.23,0,163614244,30228034,11832289,692190,4773047,15264057,55564963,24373523,6118586,98246886,0,2409155,33,1,34641025.43,3476757.803,38117783.24
42,2022-11-20,1052716.99,405853.16,107481.25,20345.61,1502.16,690762.56,1224399.42,141563.15,83301.45,1050629.11,0,242470514,44817665,15901450,895803,109591,29468757,83614019,53345801,17414834,210861512,0,4496395,46,1,88023576.24,8005531.865,96029108.1
43,2022-11-27,727493.34,279934.04,67217.84,18300.24,2426.21,399257.96,573668.68,128612.21,67944.88,581817.8,0,178924838,34384641,12196255,720389,168513,19950695,35846038,56650314,14440045,106319363,0,3144731,42,1,53356288.44,4213277.455,57569565.89
44,2022-12-04,529284.81,198488.4,36890.32,14072.71,23875.76,272092.54,206676,46566.43,205.15,289405.44,0,130269439,26361482,7309190,624150,1929707,14268136,18083938,21396737,26037,55286918,0,2050155,34,0,43376469.78,3907475.016,47283944.8
45,2022-12-11,523274.62,197129.45,32219.21,12698.63,162389.88,233562.18,305620.44,54521.75,56456.62,418978.41,0,118759996,27065275,6697604,562699,32572802,11464187,27450336,21912786,13517254,87281485,0,2052003,36,0,38627537.65,2990348.733,41617886.39
46,2022-12-18,488924.93,177988.44,29742.42,11743.29,130341.29,165859.01,203813.07,19976.86,94047.04,353542.63,0,114704426,25134889,5536107,789357,34310189,10493148,23328178,7749586,27169984,56138130,0,1813566,35,0,26816885.98,1827166.084,28644052.07
47,2022-12-25,522144.23,201848.74,33274.49,14556.34,51182.47,158209.6,87364.86,0,1269.78,295359.04,0,142800683,28515662,6257704,1155822,5217095,10954753,13723634,0,843716,62686893,0,2143405,38,0,26337989.81,1984558.442,28322548.26
48,2023-01-01,512891.56,193260.76,37923.6,15433.55,15268.22,161266.97,33272,0,0,119606.13,0,137716603,28869492,9165708,1284912,2295436,10198481,7603246,0,6,26382517,0,1799387,36,0,30936085.52,1911205.816,32847291.33
49,2023-01-08,389502.12,164456.42,24398.64,9798.01,25807.54,141957.7,58689.55,0,140,128850.14,0,109998690,24961305,5543117,800628,4418034,9537251,11011243,0,45258,24184039,0,1678973,36,0,26037770.66,1794415.268,27832185.93
50,2023-01-15,363512.55,145755.56,21956.53,6332.99,32263.09,129507.78,141445.67,400.08,140,198920.43,0,100266701,23574623,5429869,543796,4203796,8189711,19532010,175522,40511,36115044,0,1570741,31,0,23793570.01,1848290.53,25641860.54
51,2023-01-22,370442.2,143907.91,27265.25,6328.26,32328.37,130688.46,142811.78,0,54.12,204587.24,0,102340666,23660147,7423166,435865,4616978,9573535,18584346,0,17621,36081778,0,1594400,31,0,24951817.22,1657566.014,26609383.24
52,2023-01-29,373140.69,137055.41,24923.32,6845,32815.87,169176.64,160532.47,10111.37,0,190016.01,0,106090729,24599555,6506495,474930,4396069,20851198,24116023,5242520,0,31236576,0,1622492,33,0,28797291.64,1924588.146,30721879.79
53,2023-02-05,370831.83,136381.93,16438.57,10314.9,13693.39,157228.63,254526.47,2578.2,0,207597.87,0,107557326,24865563,4002941,553742,1501368,12396865,26097366,1166014,0,35976591,0,1577737,34,0,25641438.67,2201004.231,27842442.9
54,2023-02-12,385642.07,139052.07,17162.16,9387.56,35417.12,178511.7,284241.16,6135.54,12325.97,244675.75,0,105923166,23329771,5620944,479579,3853851,12119728,35445038,3114074,3189790,37929729,0,1533210,33,0,24357403.15,2292989.612,26650392.76
55,2023-02-19,401693.04,133714.09,19128.29,10307.5,37423.63,203148.41,296230.89,5585.89,7597.2,206943.48,0,111211011,20582688,6949027,356196,5210727,13302468,28723215,2959382,2135482,31203987,0,1833911,30,0,26058154.65,2681626.658,28739781.3
56,2023-02-26,420813.59,135546.98,27358.35,10091.55,29717.65,227522.96,296271.53,9592.97,4201.16,173213.81,0,115489994,20255307,9299233,464258,3779643,15150124,32167055,5498894,1205666,29032252,0,1833484,32,0,29202399.5,2133135.835,31335535.33
57,2023-03-05,399424.54,129397.62,19550.84,9944.15,12257.08,254478.37,366296.22,9163.37,9803.49,115254.89,0,108171671,20452298,7485349,567063,1339344,16592684,40974732,5202792,2692144,22660509,0,1851255,32,0,30285867.82,2571613.767,32857481.59
58,2023-03-12,419864.39,136850.86,22174.73,9853.3,6635.15,273706.88,434274.59,6957.54,49807.92,146452.37,0,106507756,20890511,10080566,631268,920542,17077552,44914635,3561261,10665001,24380374,0,1797252,29,0,26084420.27,2695646.359,28780066.63
59,2023-03-19,425075.65,140467.33,24025.21,5868.24,39916.88,294380.54,479189.78,6868.58,60768.94,233905.62,0,103213553,21810991,9872229,279810,4758847,17356199,43091469,3268341,16941986,42417347,0,1766937,31,0,27594732.14,3161007.534,30755739.67
60,2023-03-26,525405.6,166455.47,31589.7,6094.67,46762.38,304420.57,446388.11,7206.06,28920.01,278687.16,0,133821032,25799573,11912781,342581,6788448,17547035,37382238,3757916,8063309,62194166,0,2052903,31,0,32076420.29,3093000.959,35169421.25
61,2023-04-02,460838.81,155303.29,24244.1,2282.77,53884.23,266734.33,300961.18,7151.81,79302.23,180358.11,0,109889286,24232100,10373325,107201,5625663,14832782,29218159,5980747,16923091,42557661,0,1703728,33,0,24582611.65,2432188.556,27014800.2
62,2023-04-09,448203.34,165404.88,21696.48,2062.41,14612.41,268117.73,300768.04,8573.18,77953.05,194197.25,0,109194232,25617937,8883298,71674,1438781,17223660,36587896,6079268,17494593,66248869,0,1753182,29,0,26485223.64,2373357.88,28858581.52
63,2023-04-16,467304.62,164285.96,21805.73,1643.31,4638.61,248290.43,302334.19,6831,70422.26,197582.36,0,108751494,25041090,9335784,51480,526316,16199926,27276637,4510884,12983035,40148276,0,1664248,31,0,28314454.65,2714590.22,31029044.87
64,2023-04-23,523030.48,169057.72,19265.77,267.43,21.91,262647.78,282154.23,10134.17,14173.04,209687.05,0,115782148,24334224,7661193,3412,3065,16874293,25674082,7222104,2172142,33356805,0,1804919,31,0,29580309.94,2932127.781,32512437.72
