week,SPA_spend,SB_spend,SD_spend,bing_spend,youtube_spend,pmax_spend,shopping_spend,search_spend,display_spend,demandgen_spend,fb-ig_spend,tiktok_spend,dsp_spend,SPA_impression,SB_impression,SD_impression,bing_impression,youtube_impression,pmax_impression,shopping_impression,search_impression,display_impression,demandgen_impression,fb-ig_impression,tiktok_impression,dsp_impression,amz_rev,dtc_rev,total_rev,google_trend
2024-08-25,84274.95,13284.38,2316.01,2658.21,9109.59,29596.35,0.0,29166.6,0.0,10007.4,129083.67,11104.79,72911.58,5333085.77,1058054,417374,738350,861475,2267783,0,992966,0,2192533,11943567,898685,7662485,1357453.6,1126140.85,2483594.45,38
2024-09-01,99464.47,14820.04,2911.37,3421.28,2692.12,45916.3,0.0,41979.31,0.0,17642.07,150626.36,2728.28,88229.28,9678596.27,1109548,641689,813106,222737,2773607,0,1314740,0,5212434,14488361,116851,10062687,1707987.79,1485517.51,3193505.3,50
2024-09-08,61808.92,10154.03,1618.09,3121.7,0.0,24263.79,0.0,30830.45,0.0,10285.64,98976.69,735.77,67671.6,4908154.04,776102,353781,662268,0,1744062,0,776278,0,2490787,10324329,25588,6863124,954257.01,692460.23,1646717.24,48
2024-09-15,70453.99,9757.39,1073.95,1857.64,7353.23,28837.83,0.0,20722.76,0.0,10592.64,110612.91,721.71,52509.01,5576584.7,748857,241986,523267,647276,1578954,0,465892,0,2481981,9355273,22832,5935365,958572.54,1064635.85,2023208.39,40
2024-09-22,77076.12,13558.52,1524.5,2311.65,13340.65,22920.82,0.0,28964.08,0.0,26139.18,106322.85,12717.79,95007.91,7543952.77,1429685,305653,536033,1157861,1280405,0,1792719,0,5813764,8521931,819350,9273150,1373008.61,904982.67,2277991.28,38
2024-09-29,99086.05,17663.35,1860.36,1972.02,30095.83,87869.84,0.0,71663.27,0.0,30693.99,210740.59,19941.78,109197.8,10996513.02,1894552,335491,416715,2850848,4804678,0,2608702,0,4597699,17905212,1968307,8997440,2416979.83,3015933.77,5432913.6,61
2024-10-06,388749.48,53954.53,5437.42,3663.43,47816.13,139301.83,0.0,84330.81,0.0,21335.02,254440.19,9327.68,115337.85,40837866.95,4346117,925021,729475,3501000,6923542,0,1310547,0,2573372,19974238,977175,11428695,9090150.26,5238724.74,14328875.0,96
2024-10-13,49579.3,13753.11,1504.14,1362.88,1457.76,33087.24,0.0,13743.97,0.0,5757.09,26707.25,1812.8,24797.31,4868627.76,1595721,598519,413538,8269,1270674,0,391939,0,1370052,1967661,181607,2162087,1028423.69,865512.79,1893936.48,51
2024-10-20,46826.76,13718.0,1209.44,2094.6,209.63,33388.59,0.0,14415.96,0.0,4709.85,46933.65,1359.93,22451.99,4182245.06,1436207,331685,478291,3652,1628062,0,254404,0,1084572,3951644,66036,1836725,1253440.45,703953.66,1957394.11,36
2024-10-27,61040.22,15940.82,1476.76,1266.44,16.64,40992.24,0.0,19810.35,0.0,4716.14,56750.88,1280.77,38966.77,5987834.22,1307562,446472,257786,406,2645181,0,432894,0,884140,3926246,56305,2509486,1699251.29,1301528.81,3000780.1,34
2024-11-03,59174.59,15290.76,1422.53,2264.42,10943.74,66262.03,0.0,25060.21,0.0,9107.28,79900.6,2102.56,55585.38,5149350.84,1214295,340951,555579,986911,2559282,0,556983,0,2599171,5146278,95630,2584801,1378372.01,1093770.23,2472142.24,34
2024-11-10,73012.21,17040.23,1794.84,4319.42,23754.51,108183.81,0.0,54697.15,0.0,19920.72,156532.78,886.98,54987.2,8999096.92,1431833,357337,1005378,1960137,4106668,0,754870,0,12043649,11442355,38271,3731889,1267299.65,1767420.2,3034719.85,40
2024-11-17,225439.86,49541.24,3089.84,7685.81,35583.22,136465.63,0.0,69402.7,0.0,18588.49,222943.18,873.65,72554.13,14853000.08,2332328,417903,2136968,2712479,5407606,0,1294856,0,6593420,13225779,34473,10301926,3446412.23,3126483.13,6572895.36,52
2024-11-24,416450.16,75092.05,2614.77,10048.05,30859.96,163808.07,0.0,107250.6,0.0,12011.52,321927.95,0.0,196280.41,30141254.76,3687467,443250,2747831,2289669,5716105,0,1579687,0,1814896,15450894,0,18535687,5607983.58,4365935.5,9973919.08,69
