week,bing_spend,display_spend,search_spend,dv360_spend,pmax_spend,apple_news_spend,demandgen_spend,fb-ig_spend,twitter_spend,youtube_spend,tiktok_spend,dsp_spend,SB_spend,SD_spend,SPA_spend,fincast_spend,bing_impression,display_impression,search_impression,dv360_impression,pmax_impression,apple_news_impression,demandgen_impression,fb-ig_impression,twitter_impression,youtube_impression,tiktok_impression,dsp_impression,SB_impression,SD_impression,SPA_impression,fincast_impression,promotion,google_search_index,amz_search_without_keywords,amazon_rev,dtc_rev,total_rev
2023-12-10,2477.8,984,26881.3,0,18154.34,0,0,61414.32,34964.8,0,157214.37,90736.81,1692.47,6.89,93329.17,0,99854,1583180,207549,0,2581946,0,0,7199893,13678838,0,21046337,11132949,81495,1200,14276843,0,0,42,991894,10968138.26,344081.68,11312219.94
2023-12-17,2331.12,1960,22156.9,0,9806.46,0,0,60149.38,37449.4,0,110047.32,72287.49,2056.8,6.98,92678.81,0,143257,3751020,210168,0,1832544,0,0,8082931,23559411,0,16265750,9859097,105431,1269,16412374,0,0,43,1059323,9410659.641,298387.29,9709046.931
2023-12-24,2532.24,2175,27686.6,0,11430.99,0,0,54259.63,25958.7,0,226399.15,40496.7,2578.19,7.03,94003.15,0,204469,2666467,237961,0,2401110,0,0,8510548,18551527,0,15706288,8463804,179142,1166,20570357,0,0,51,1074009,8594570.99,343862.97,8938433.96
2023-12-31,1926.74,0,13361.27,0,12698.46,0,0,8981.04,3822.21,0,29024.82,23110.73,4400.4,197.54,94246.83,0,224622,0,135373,0,2381850,0,0,2301998,3647269,0,4114001,6610905,385948,46468,21062245,0,0,50,860807,8315078.98,276867.83,8591946.81
2024-01-07,1330.97,315.66,19773.01,5179.27,16460.99,3152.88,0,19138.13,8014.89,0,22171.33,40935.44,12990.78,348.32,119410.37,0,93569,104349,166694,1135418,3015925,1050959,0,3676984,6643315,0,3807090,7793475,750470,81657,19643854,0,0,38,840411,8098716.059,400466.71,8499182.769
2024-01-14,1525.48,897.67,13484.34,0,15904.13,0,0,19991.42,9988.09,0,51009.99,42437.72,18677.92,348.95,150466.42,0,87338,338241,116963,0,2737037,0,0,3532694,9199230,0,8740984,6716890,1206711,84298,22084964,0,0,39,789046,7644254.371,339316.47,7983570.841
2024-01-21,1417.51,0,14492.71,0,16931.71,0,0,15887.04,8340.8,0,77164.94,36536.57,28307.02,167.44,166018.37,0,78136,3936,114344,0,2882202,0,0,2777079,8790382,0,11310992,4362331,1819522,37781,25827593,0,0,34,782153,8080688.55,279074.59,8359763.14
2024-01-28,1329.99,0,14276.43,0,14661.16,0,0,17785.68,6527.39,0,56326.75,28035.01,25662.68,35.42,199762.52,0,68454,1195,118212,0,2752046,0,0,2661315,6603388,0,7550000,4228621,1619252,9120,30962792,0,0,34,784862,8267513.299,321260.87,8588774.169
2024-02-04,1229.48,0,12991.81,0,13457.42,0,0,18859.27,5007.81,0,52460.55,29222.44,26515.18,438.19,206956.32,0,75603,430,106873,0,2561654,0,0,2611371,3883003,0,7900134,3703864,1540426,115815,27958778,0,0,35,748981,8134436.626,247880.3,8382316.926
2024-02-11,1108.73,0,14243.44,0,15419.56,0,0,24511.81,7949.01,0,41201.36,31102.05,26748.34,422.96,212843.49,0,85353,0,119635,0,2684376,0,0,3583549,5933716,0,6636050,4312521,1492006,87500,26812924,0,0,39,712903,7962614.303,250084.19,8212698.493
2024-02-18,902.94,0,12512.37,0,12020.68,0,0,15943.85,4345.16,0,43344,32286.26,28930.4,168.69,258330.47,0,72070,0,111416,0,2253516,0,0,2483759,4254020,0,5798222,5243707,1576599,34897,31588658,0,0,37,775203,8218116.172,308376.29,8526492.462
2024-02-25,1561.8,0,15984.84,0,15035.21,0,0,19118.23,3557.85,0,60240.18,42033.15,25163.28,455.73,279486.62,0,123281,0,131046,0,2758679,0,0,2947992,3452250,0,7724192,6997325,1677025,60993,34088661,0,0,37,751406,8477344.66,284992.83,8762337.49
2024-03-03,1658.65,0,18081.53,0,15653.07,0,0,18264.14,4134.49,0,51478.98,50360.33,25493.77,1399.32,296301.09,0,112935,0,126857,0,2831764,0,0,2798209,4124991,0,6954978,6992265,1785071,253747,39869995,0,0,35,745267,8524615.013,245549.8,8770164.813
2024-03-10,2539.27,0,14494.9,0,17530.09,0,0,18877.11,4957.97,0,51361.28,63341.62,24370.46,1097.74,283390.27,0,348792,0,104376,0,3181155,0,0,2518535,6262555,0,5321839,6784763,1833684,207279,38686132,0,0,35,731610,8169636.462,309960.04,8479596.502
2024-03-17,3766.71,0,24011.45,0,24388.26,0,0,40272.74,9609.81,0,65162.66,128177.14,24790.31,454.38,277413.28,0,794515,0,148973,0,4011917,0,0,4061500,11856506,0,8150836,10091320,1968465,96715,45428490,0,0,37,821389,9395588.469,352356.93,9747945.399
2024-03-24,4317.77,0,22309.13,0,22555.91,0,0,29845.3,8612.27,0,52285.33,80462.6,23602.24,181.71,247197.99,0,1006903,0,155909,0,3725961,0,0,3413641,12722652,0,4506907,7370003,1656014,35735,39177562,0,0,40,778596,8223410.679,357320.82,8580731.499
2024-03-31,3004.78,0,24105.73,0,22141.71,0,0,31060.31,5880,0,19441.29,66834.02,25453.63,348.1,263709.1,0,439144,0,170059,0,3652253,0,0,3974409,8717662,0,2168917,7510052,1936411,70590,44002270,0,0,39,767751,8755763.412,315106.13,9070869.542
2024-04-07,1657.02,0,17353.16,0,20200.12,0,0,27896.8,5365.78,0,13041.58,62575.29,25505.64,461.12,230422.94,0,66043,0,121628,0,3775038,0,0,3719902,5063571,0,1548290,7129565,1936306,46119,39306753,0,0,36,744700,8422514.553,268403,8690917.553
2024-04-14,1824.48,0,22576.87,0,19513.73,0,0,56910.57,9358.11,0,26108.92,90540.01,31358.98,784.58,233228.88,0,60524,0,154339,0,3229345,0,0,6731909,10128822,0,3492364,9456692,2239423,274002,42178891,0,0,36,758342,8814354.398,361522.17,9175876.568
2024-04-21,1850.17,0,24150.79,0,18654.97,0,0,31105.15,3068.39,0,34152.04,58203.15,34102.19,1101.04,234972.33,0,69158,0,155343,0,3182572,0,0,3653010,3412316,0,2591082,5882099,2309802,351578,35375897,0,0,41,743336,8402127.318,411832.5,8813959.818
2024-04-28,1102.92,0,19895.84,0,15357.38,0,0,21700.69,4629.55,0,73517.01,30510.19,33574.53,1016.04,262530.84,104461.5531,89663,0,153965,0,2566178,0,0,2649437,3980960,0,5639819,3209066,2996878,362689,38570796,602953,0,36,718962,8465629,227267.86,8692896.86
2024-05-05,856.35,0,17194.87,0,12521.17,0,0,13945.28,6473.9,0,47171.23,61856.46,35385.58,407.95,232165,180228.6292,70601,0,138294,0,2135140,0,0,1759272,4775766,0,3738056,7229044,2915614,62987,29526650,4106065,0,41,614555,8292130.28,261009.99,8553140.27
2024-05-12,1575.71,0,19439.68,0,15606.14,0,0,20678.05,7480.9,0,138605.24,52234.67,41366.03,600.78,274074.71,176248.753,71664,0,145327,0,2583912,0,0,2616984,5894653,0,14269242,5234096,3444606,83712,37690253,4106065,0,38,759364,9091854.3,329109.27,9420963.57
2024-05-19,2519.39,1739.73,24057.04,0,15991.21,0,0,29135.86,9854.4,0,66142.22,44987.84,41261.79,707.65,295335.46,136510.4378,54842,874438,169413,0,2613298,0,0,3810084,6314618,0,5566237,4001906,3561127,118865,38127089,4106065,0,43,790174,9269877.27,348775.92,9618653.19
2024-05-26,2846.91,2169.42,29884.1,0,21563.33,0,0,29943.86,16822.7,0,55818.59,54451.21,38896.92,459.71,259420.84,134798.7455,70431,1388895,204895,0,3333032,0,0,3844385,11933805,0,4552722,4658109,3497726,64305,33576228,4106065,0,44,863923,9207151.88,321346.11,9528497.99
2024-06-02,1860.82,1376.5,23663.18,0,17935.19,0,0,21786.61,15672.01,47922.88,17568.81,61696.53,38120.19,365.21,238153.98,297825.5404,54763,725660,184546,0,2883661,0,0,2633207,10305955,5091263,1422512,4841099,3098341,55477,27590151,3757651,0,44,793353,9007558.17,275059.15,9282617.32
2024-06-09,945.55,1160.64,15727.02,0,12657.31,0,0,38569.77,9217.43,177329.76,10525.57,63059.75,40744.97,439.02,259503.73,169215.7072,18366,611517,128510,0,2146083,0,0,4080766,5485360,19082541,699715,5462789,3464962,70011,30973144,7515303,0,47,823150,9557208.92,283500.4,9840709.32
2024-06-16,790.09,1360.37,12862.12,0,12755.2,0,0,38737.69,7765.16,0,86373.92,56523,39881.57,411.1,242206.36,0,16508,942448,119366,0,2031933,0,0,4388679,4860625,0,11196358,4981956,3298339,64746,29435245,0,0,46,866952,9532292.35,313676.76,9845969.11
2024-06-23,634.1,997.68,13636.59,0,12043.75,0,0,23034.48,7525.51,0,6740.57,47045.95,39878.29,307.11,236737.31,0,19704,867059,127492,0,2028407,0,0,2763464,4102247,0,237628,4304586,2965676,56634,30439550,0,0,44,801468,8935099.89,263663.21,9198763.1
2024-06-30,1753.34,1632.75,12563.95,0,13040.62,0,0,23109.71,10119.89,19449.49,4636.26,74620.68,39552.39,897.5,206299.37,0,24437,1577960,98273,0,2286608,0,0,2827131,7151450,1985077,172058,7171220,3003836,102453,23020933,0,0,53,832106,7808480.8,279159.89,8087640.69
2024-07-07,1222.15,1923.95,9442.83,0,12712.15,0,78.08,23543.09,8941.84,9042.39,27410.22,151557.88,38730.67,851.49,211015.76,0,13936,1564764,80721,0,2327399,0,9242,2544935,5895381,1934207,2699046,14003349,3348141,111888,24558353,0,0,62,919712,8275124.54,272777.54,8547902.08
2024-07-14,2372.59,1713.23,14076.61,0,13327.19,0,2821.17,101266.22,15863.43,16854.14,12722.96,255972.21,52438,4492.08,288449.5,0,25202,1188200,97122,0,2492889,0,874104,8943021,6919263,4638659,1198507,24921812,3722976,388500,36847901,0,1,87,1935257,22649109.63,393863.77,23042973.4
2024-07-21,771,1668.52,13985.35,0,8605.57,0,260.8,70865.01,7258.92,4229.81,1445.87,67271.11,37471.76,591,182414.1,0,22716,1158168,115473,0,1919354,0,44461,6931593,2400988,1631507,65466,7831914,3329825,126494,22365415,0,0,57,851718,8612350.8,197812.7,8810163.5
2024-07-28,387.46,662.21,11522.59,0,7998.48,0,0,40981.1,2972.42,1327.73,2287.86,50482.45,35394.29,1625.46,195132.71,0,17204,624219,101070,0,1864540,0,0,3983081,1190128,307309,85081,6409180,3261271,405334,23960333,0,0,55,791792,9082417.44,216289.23,9298706.67
2024-08-04,287.9,0,13221.21,0,14856.67,0,26514.63,22089.95,2048.55,5020.55,3022.06,41695.07,40802.73,2980.8,236050.5,0,14286,0,104398,0,2272855,0,5197797,2602427,1516986,1057470,103761,4705841,3287226,521861,30666114,0,0,54,810792,9213311.46,591746.97,9805058.43
2024-08-11,61.36,0,14547.68,0,17320.37,0,8984.43,42068.86,4286.34,9667.19,1858.84,45252.67,47571.9,6092.31,293530.75,0,15266,0,107458,0,3443935,0,766035,4878495,3336283,1112428,63706,4647118,3638886,789907,37599270,0,0,61,891823,10383302.84,377806.06,10761108.9
2024-08-18,128.63,3188.93,14779.33,0,12817.46,0,18896.48,49827.97,5621.55,8932.13,12667.64,48305.12,45418.05,5839.17,282639.56,0,22045,575572,114210,0,3138424,0,1143093,5445205,3180641,2745684,766329,4640938,3481854,800253,37934161,0,0,60,851883,9761928.16,346389.51,10108317.67
2024-08-25,250.79,2519.89,20449.01,0,17249.96,0,10342.66,59010.82,6061.43,18960.1,3674.15,53258.74,46180.2,6467.07,310266.65,0,24469,577548,155810,0,3789580,0,765824,6237985,3248621,6992699,112283,7360067,3501282,815110,37490280,0,0,52,858402,9623052.5,319773.03,9942825.53
2024-09-01,208.57,0,16462.57,0,19223.82,0,0,54430.88,7913.13,15375.06,3873.9,57230.7,47646.99,7190.27,333728.07,0,17482,0,135517,0,4828061,0,0,7095093,3544930,4554185,141748,6165012,3282548,906022,36335663,0,0,60,857132,9439587.95,369101.64,9808689.59
2024-09-08,489.65,0,21354.66,0,17678.45,0,0,65128.59,9559.79,52473.59,4795.84,85979.04,62048.24,7206.51,386571.19,0,19776,0,165195,0,4625553,0,0,7041836,4703653,17772529,180390,9562863,4004104,828725,46001593,0,0,60,931408,10586026.02,409242.61,10995268.63
2024-09-15,471.75,0,22668.04,0,18345.05,0,0,68526.12,14012.24,53847.03,52519.31,83012.64,64842.93,7348.87,399823.85,0,24902,0,173048,0,3649824,0,0,6495588,5898593,28185020,5437041,11567131,4290692,884259,50683615,0,0,62,1022282,11298417.17,423982.09,11722399.26
2024-09-22,628.61,0,19189.47,0,16936.38,0,0,76285.02,20236.04,55527.26,194415.78,84555.66,69405.57,6163.33,352036.78,0,29740,0,172755,0,3941438,0,0,7867314,8451740,15928177,27299479,10760938,4357850,795287,40629836,0,0,63,1110990,11276968.56,378211.18,11655179.74
2024-09-29,678.91,0,27609.89,0,15625.95,0,0,56702.12,18696.15,56607.6,10817.6,279360.19,69268.3,6326.62,311260.45,0,39885,0,280591,0,3540114,0,0,6734155,10496642,16558137,1064112,20476248,4221494,814751,37710593,0,0,63,1012286,10569559.85,360958.19,10930518.04
2024-10-06,667.04,0,34067.06,0,14066.02,0,0,76120.03,15510.05,43486.35,16739.62,273063.86,85200.46,13281.03,457968.29,0,35196,0,430993,0,2955141,0,0,8116018,8501697,12606473,1841183,22223604,5130927,1188184,50715521,0,1,86,1930356,20607776.63,491617.85,21099394.48
2024-10-13,563.68,0,20361.57,0,15658.83,0,0,57759.48,10054.98,29020.67,6994.05,74137.01,59977.61,6883.29,346096.06,0,22301,0,152113,0,3248687,0,0,6547428,5995000,9320742,521563,7611835,3824349,949564,38923208,0,0,62,961283,10854861.98,351856.05,11206718.03
2024-10-20,665.65,0,18300.14,0,17370.06,0,0,56000.86,9358.65,31282.62,10948.64,84169.77,55309.79,4666.5,296459.5,0,22670,0,133307,0,3488905,0,0,8213295,3484204,17685721,523744,9011521,3545825,572547,34572377,0,0,56,899469,10202098.89,366612.38,10568711.27
2024-10-27,567.11,0,15463.83,0,18675.04,0,0,74127.79,8546.98,48411.47,9616.94,124113.61,43207.48,4711.45,269075.9,43596.0421,27713,0,123682,0,3615272,0,0,8710487,3035153,38340725,500760,12355963,3299125,556297,26600484,0,0,52,860441,8991614.54,349269.83,9340884.37
2024-11-03,595.29,0,20589.79,0,18822.95,0,0,115027.2,7338.39,67758.77,6784.8,177939.22,40964.65,4013.46,237171.19,164332.16,30018,0,144269,0,3756256,0,0,13737746,3546819,40791878,388458,19244776,3227408,643305,26247962,5272788,0,51,889096,9212324.79,451927.66,9664252.45
2024-11-10,438.97,0,24703.59,0,19154.3,0,0,125771.98,6404.07,57107.01,4199.76,158647.73,42700.04,5015.02,254024.92,204545.5195,28553,0,147530,0,4134693,0,0,12041741,2402150,23457123,104361,14602539,3431037,759842,40093617,5272788,0,58,995944,10386637.59,473982.31,10860619.9
2024-11-17,346.95,0,32181.01,0,19753.87,0,0,184739.3,7794.35,40566.69,4118.53,233230.5,57222.67,9520.9,310534.14,232617.8621,20497,0,171804,0,4619170,0,0,19729963,2017552,11262755,115799,21508771,3630026,732863,50760492,5272788,1,77,1386275,16087802.51,722979.84,16810782.35
